Raw Drug,Mechanism Of Action,drug_cleaned,drug_sponsor,standard_drug,synonym_cortellus,flag,synonym_list,drug_cleaned_cortellus,flag_synoymn_list,synonym_list_cleaned,Mapping_flag
filgrastim-bflm (SC),Granulocyte colony stimulating factor agonist,filgrastim-bflm,,,,0,['filgrastim-bflm'],,0,[],0
plerixafor,CXC chemokine receptor 4 antagonist; Chemokine receptor antagonist,plerixafor,,plerixafor,plerixafor,fexact,"['plerixafor octahydrochloride', 'AMD-3100', 'SDZ-SID-791', 'SID-791', 'Mozobil', 'GZ316455', 'JM-3100', 'plerixafor']",plerixafor,fexact,"['plerixafor octahydrochloride', 'amd 3100', 'sdz sid 791', 'sid 791', 'mozobil', 'gz316455', 'jm 3100', 'plerixafor']",correct_mapping
"NY-ESO-1 TCR therapy, Tmunity Therapeutics",T cell stimulant; Immuno-oncology therapy; Genome editing,NY-ESO-1 TCR therapy,Tmunity Therapeutics,,,0,['NY-ESO-1 TCR therapy'],,0,[],0
TAK-169,Protein synthesis inhibitor,TAK-169,,TAK-169,tak 169,fexact,"['TAK-169', 'CD38-targeted second-generation Engineered Toxin Bodies (multiple myeloma),/', 'CD38-targeted second-generation Engineered Toxin Bodies (multiple myeloma),/Takeda', 'CD38 ETB']",TAK-169,fexact,"['tak 169', 'cd38 targeted second generation engineered toxin bodies multiple myeloma', 'cd38 targeted second generation engineered toxin bodies multiple myeloma takeda', 'cd38 etb']",correct_mapping
FCARH-143,T cell stimulant; Immuno-oncology therapy,FCARH-143,,FCARH-143,fcarh 143,fexact,"['anti-BCMA CAR T-cell therapy (lentiviral vector, multiple myeloma), Juno Therapeutics', 'FCARH-143', 'anti-BCMA CAR T-cell therapy (lentiviral vector, multiple myeloma)']",FCARH-143,fexact,"['anti bcma car t cell therapy lentiviral vector multiple myeloma juno therapeutics', 'fcarh 143', 'anti bcma car t cell therapy lentiviral vector multiple myeloma']",correct_mapping
"hyaluronidase, recombinant, Halozyme",Hyaluronidase stimulant,hyaluronidase,Halozyme,,,0,"['hyaluronidase', 'orgelase', 'recombinant hyaluronidase']",,NER_API,[],0
"filgrastim, Teva",Granulocyte colony stimulating factor agonist,filgrastim,Teva,filgrastim biosimilar,filgrastim,fexact,"['Zarxio', 'filgrastim-sndz', 'Zarzio', 'filgrastim biosimilar, Hexal', 'Filgrastim Hexal', 'filgrastim biosimilar', 'filgrastim', 'EP-2006', 'Filgrastim BS']",filgrastim biosimilar,fexact,"['zarxio', 'filgrastim sndz', 'zarzio', 'filgrastim biosimilar hexal', 'filgrastim hexal', 'filgrastim biosimilar', 'filgrastim', 'ep 2006', 'filgrastim bs']",correct_mapping
cobimetinib (oral tablet),Mitogen-activated protein kinase kinase 1 inhibitor; Mitogen-activated protein kinase kinase 2 inhibitor,cobimetinib,,cobimetinib,cobimetinib,fexact,"['XL-518', 'MEK inhibitor (oral, cancer),/', 'Cotellic', 'RO-5514041', 'GDC-0973', 'MEK inhibitor (oral, cancer),/Genentech', '[14C]-GDC-0973', 'RG-7421', 'cobimetinib', 'RG-7420 (GDC-0973)', 'cobimetinib butyrate', 'MEK inhibitor (oral, cancer), Exelixis/Genentech', 'cobimetinib fumarate']",cobimetinib,fexact,"['xl 518', 'mek inhibitor oral cancer', 'cotellic', 'ro 5514041', 'gdc 0973', 'mek inhibitor oral cancer genentech', '14c gdc 0973', 'rg 7421', 'cobimetinib', 'rg 7420 gdc 0973', 'cobimetinib butyrate', 'mek inhibitor oral cancer exelixis genentech', 'cobimetinib fumarate']",correct_mapping
CSG-CD19,T cell stimulant; Immuno-oncology therapy,CSG-CD19,,CSG-CD19,csg cd19,fexact,"['CSG-CD19', 'CT-032', 'anti-CD19 CAR T-cell therapy (blood cancer)']",CSG-CD19,fexact,"['csg cd19', 'ct 032', 'anti cd19 car t cell therapy blood cancer']",correct_mapping
CT-041,T cell stimulant; Immuno-oncology therapy,CT-041,,CT-041,ct 041,fexact,"['anti-Claudin18.2 CAR T-cell therapy (gastric cancer/pancreatic cancer)', 'CT-041', 'Claudin18.2-targeted chimeric antigen receptor redirected autologous T-cell therapy (gastric cancerrcinoma/pancreatic cancer)', 'CAR-CLD18 T-cell therapy (gastric cancer/pancreatic cancer)', 'CLDN18.2-CAR-T cells', 'CAR-CLD18 T-cells']",CT-041,fexact,"['anti claudin18 2 car t cell therapy gastric cancer pancreatic cancer', 'ct 041', 'claudin18 2 targeted chimeric antigen receptor redirected autologous t cell therapy gastric cancerrcinoma pancreatic cancer', 'car cld18 t cell therapy gastric cancer pancreatic cancer', 'cldn18 2 car t cells', 'car cld18 t cells']",correct_mapping
pavurutamab,CD3 agonist; Immuno-oncology therapy,pavurutamab,,AMG-701,pavurutamab,fexact,"['anti-CD3/anti-BCMA bispecific T-cell engager (HLE-BiTE, multiple myeloma)', 'anti-BCMA HLE BiTE', 'pavurutamab', 'AMG-701']",AMG-701,fexact,"['anti cd3 anti bcma bispecific t cell engager hle bite multiple myeloma', 'anti bcma hle bite', 'pavurutamab', 'amg 701']",correct_mapping
BB-21217,T cell stimulant; B-cell maturation antigen antagonist; Immuno-oncology therapy,BB-21217,,bb-21217,bb 21217,fexact,"['bb-2121 matured ex vivo with bb-007', 'anti B-cell maturation antigen-targeting chimeric antigen receptor T-cells (bb-007, hematological malignancies), bluebird bio', 'anti-BCMA CAR T-cell therapy (bb-007, hematological malignancies), bluebird bio/Celgene', 'bb-21217', 'BCMA-targeting CAR T-cells (bb-007, hematological malignancies)', 'anti B-cell maturation antigen-targeting chimeric antigen receptor T-cells (bb-007, hematological malignancies)', 'anti-BCMA CAR T-cell therapy (bb-007, hematological malignancies),/', 'anti-BCMA CAR T-cell therapy (bb-007, hematological malignancies), bluebird bio/', 'BCMA-targeting CAR T-cells (bb-007, hematological malignancies), bluebird bio']",bb-21217,fexact,"['bb 2121 matured ex vivo with bb 007', 'anti b cell maturation antigen targeting chimeric antigen receptor t cells bb 007 hematological malignancies bluebird bio', 'anti bcma car t cell therapy bb 007 hematological malignancies bluebird bio celgene', 'bb 21217', 'bcma targeting car t cells bb 007 hematological malignancies', 'anti b cell maturation antigen targeting chimeric antigen receptor t cells bb 007 hematological malignancies', 'anti bcma car t cell therapy bb 007 hematological malignancies', 'anti bcma car t cell therapy bb 007 hematological malignancies bluebird bio', 'bcma targeting car t cells bb 007 hematological malignancies bluebird bio']",correct_mapping
ACTR-087,T cell stimulant; Immuno-oncology therapy,ACTR-087,,,,0,"['ACTR-087 + trastuzumab', 'ACTR-087', 'ATTCK-20', 'anti-HER2 mAb + CD16 anti-Fc CAR T-cell therapy (HER2-positive solid tumor), Unum Therapeutics', 'anti-HER2 monoclonal antibody + chimeric CD16V-41BB-CD3zeta receptor T cells (HER2-positive solid tumor), Unum Therapeutics', 'anti-HER2 mAb + CD16V-BB-zeta T cells (HER2-positive solid tumor), Unum Therapeutics']",,NER_API,[],0
AZD-4573,Cyclin-dependent kinase 9 inhibitor,AZD-4573,,AZD-4573,azd 4573,fexact,"['cyclin-dependent kinase 9 inhibitors (inflammatory diseases), Probiodrug', 'CDK9 inhibitors (inflammatory diseases), Probiodrug', 'AZ-13810325', 'CDK9 inhibitors (inflammatory diseases/ cancer)', 'AZD-4753', 'AZ-5576', 'cyclin-dependent kinase 9 inhibitors (inflammatory diseases/ cancer)', 'AZD-4573', 'AZD-5576', 'PC-585']",AZD-4573,fexact,"['cyclin dependent kinase 9 inhibitors inflammatory diseases probiodrug', 'cdk9 inhibitors inflammatory diseases probiodrug', 'az 13810325', 'cdk9 inhibitors inflammatory diseases cancer', 'azd 4753', 'az 5576', 'cyclin dependent kinase 9 inhibitors inflammatory diseases cancer', 'azd 4573', 'azd 5576', 'pc 585']",correct_mapping
STRO-001,CD74 antagonist; Immuno-oncology therapy,STRO-001,,STRO-001,stro 001,fexact,"['SP-7219', 'CD74 targeting antibody drug conjugates (cancer)', 'SP-7676', 'antibody drug conjugates (cancer)', 'anti-CD74 antibody-maytansinoid conjugate (B-cell malignancies', 'STRO-001', 'SP-7675']",STRO-001,fexact,"['sp 7219', 'cd74 targeting antibody drug conjugates cancer', 'sp 7676', 'antibody drug conjugates cancer', 'anti cd74 antibody maytansinoid conjugate b cell malignancies', 'stro 001', 'sp 7675']",correct_mapping
inebilizumab (IV),CD19 antagonist; Immuno-oncology therapy,inebilizumab,,inebilizumab,inebilizumab,fexact,"['B-cell depleting anti-CD19 monoclonal antibody, MedImmune', 'b-cell depleting anti-cd19 monoclonal antibody', 'B-cell depleting anti-CD19 monoclonal antibody, Viela Bio', 'VIB-0551', 'CD19-1aFuc', 'B-cell depleting anti-CD19 monoclonal antibody', 'MEDI-551', 'inebilizumab-cdon', 'Uplizna', 'inebilizumab', 'MT-0551']",inebilizumab,fexact,"['b cell depleting anti cd19 monoclonal antibody medimmune', 'b cell depleting anti cd19 monoclonal antibody', 'b cell depleting anti cd19 monoclonal antibody viela bio', 'vib 0551', 'cd19 1afuc', 'b cell depleting anti cd19 monoclonal antibody', 'medi 551', 'inebilizumab cdon', 'uplizna', 'inebilizumab', 'mt 0551']",correct_mapping
mycophenolate mofetil (IV),Immunosuppressant; Inosine monophosphate dehydrogenase inhibitor,mycophenolate mofetil,,mycophenolate mofetil,mycophenolate mofetil,fexact,"['mycophenolate mofetil hydrochloride', 'ME-MPA', 'CellCept Cap', 'mycophenolate mofetil', 'RS-61443', 'R-99, Roche', 'R-99', 'mycofenolate mofetil', 'CellCept', 'Munoloc', 'RS-6143', 'MMF']",mycophenolate mofetil,fexact,"['mycophenolate mofetil hydrochloride', 'me mpa', 'cellcept cap', 'mycophenolate mofetil', 'rs 61443', 'r 99 roche', 'r 99', 'mycofenolate mofetil', 'cellcept', 'munoloc', 'rs 6143', 'mmf']",correct_mapping
GSK-2816126,Enhancer of zeste homolog 2 inhibitor,GSK-2816126,,GSK-2816126,gsk 2816126,fexact,"['GSK-2816126A', 'GSK-2816126', 'GSK-9726', 'GSK-641', 'EZH2 inhibitor (cancer)', 'GSK-126 (EZH2)', 'GSK-343']",GSK-2816126,fexact,"['gsk 2816126a', 'gsk 2816126', 'gsk 9726', 'gsk 641', 'ezh2 inhibitor cancer', 'gsk 126 ezh2', 'gsk 343']",correct_mapping
TTI-622,CD47 antagonist; Signal regulatory protein alpha agonist; Immuno-oncology therapy; Immune checkpoint inhibitor,TTI-622,,TTI-622,tti 622,fexact,"['TTI-622', 'SIRPalpha Fc (multiple myeloma, lymphoma)', 'dual CD47 checkpoint inhibitor/modest FcgR activator (cancer/lymphoma/myeloma)', 'dual CD47 checkpoint inhibitor/modest FcgR activator (Hodgkins lymphoma/multiple myleoma)']",TTI-622,fexact,"['tti 622', 'sirpalpha fc multiple myeloma lymphoma', 'dual cd47 checkpoint inhibitor modest fcgr activator cancer lymphoma myeloma', 'dual cd47 checkpoint inhibitor modest fcgr activator hodgkins lymphoma multiple myleoma']",correct_mapping
blinatumomab,CD3 agonist; Immuno-oncology therapy,blinatumomab,,blinatumomab,blinatumomab,fexact,"['Blincyto', 'blinatumomab', 'blinatumomab (cancer, BiTE),/', 'anti-CD3/anti-CD19 bispecific T-cell engager (BiTE, acute lymphoblastic leukemia),/Astellas', 'MT-103 (cancer, BiTE),/', 'bscCD19xCD3 (cancer, BiTE), Micromet/MedImmune', 'anti-CD3/anti-CD19 bispecific T-cell engager (BiTE, acute lymphoblastic leukemia),/', 'bscCD19xCD3 (cancer, BiTE), Micromet/', 'L01XC19', 'AMG-103', 'MT-103 (cancer, BiTE), Micromet/MedImmune', 'MEDI-538', 'MT-103', 'MT-103, MedImmune', 'MT-103 (cancer, BiTE)', 'bscCD19xCD3 (cancer, BiTE)', 'blinatumomab (cancer, BiTE), Micromet/MedImmune', 'MT-103 (cancer, BiTE), Micromet/', 'blinatumomab (cancer, BiTE), Micromet/', 'CD19XCD3', 'bscCD19xCD3 (cancer, BiTE),/']",blinatumomab,fexact,"['blincyto', 'blinatumomab', 'blinatumomab cancer bite', 'anti cd3 anti cd19 bispecific t cell engager bite acute lymphoblastic leukemia astellas', 'mt 103 cancer bite', 'bsccd19xcd3 cancer bite micromet medimmune', 'anti cd3 anti cd19 bispecific t cell engager bite acute lymphoblastic leukemia', 'bsccd19xcd3 cancer bite micromet', 'l01xc19', 'amg 103', 'mt 103 cancer bite micromet medimmune', 'medi 538', 'mt 103', 'mt 103 medimmune', 'mt 103 cancer bite', 'bsccd19xcd3 cancer bite', 'blinatumomab cancer bite micromet medimmune', 'mt 103 cancer bite micromet', 'blinatumomab cancer bite micromet', 'cd19xcd3', 'bsccd19xcd3 cancer bite']",correct_mapping
lenalidomide (tablet),Tumour necrosis factor alpha antagonist; Angiogenesis inhibitor,lenalidomide,,lenalidomide,lenalidomide,fexact,"['CDC-501', 'IMiD-1', 'IND-70116', 'IMiD-3', 'Revlimid', 'lenalidomide', 'CC-5013', 'NSC-703813', 'ENMD-0997', 'Revimid', 'CDC-5013']",lenalidomide,fexact,"['cdc 501', 'imid 1', 'ind 70116', 'imid 3', 'revlimid', 'lenalidomide', 'cc 5013', 'nsc 703813', 'enmd 0997', 'revimid', 'cdc 5013']",correct_mapping
"CD38 CAR-T cell therapy, Sorrento Therapeutics",CD38 antagonist; T cell stimulant; Immuno-oncology therapy,CD38 CAR-T cell therapy,Sorrento Therapeutics,,,0,['CD38 CAR-T cell therapy'],,0,[],0
cabiralizumab,Colony stimulating factor 1 receptor antagonist; Immuno-oncology therapy,cabiralizumab,,cabiralizumab,cabiralizumab,fexact,"['FPA-008', 'cabiralizumab', 'anti-CSF1R hmAb (autoimmune disease), FivePrime Therapeutics', 'anti-colony stimulating factor 1 receptor humanized monoclonal antibody (autoimmune disease), FivePrime Therapeutics', 'BMS-986227', 'ONO-4687']",cabiralizumab,fexact,"['fpa 008', 'cabiralizumab', 'anti csf1r hmab autoimmune disease fiveprime therapeutics', 'anti colony stimulating factor 1 receptor humanized monoclonal antibody autoimmune disease fiveprime therapeutics', 'bms 986227', 'ono 4687']",correct_mapping
CKD-581,Histone deacetylase inhibitor,CKD-581,,"CKD-581 (iv, cancer)",ckd 581,fexact,"['alteminostat mesylate', 'histone deacetylase inhibitor (solid tumor)', 'CKD-581 (iv, cancer)', 'CKD-581', 'alteminostat', 'HDAC inhibitor (solid tumor)']","CKD-581 (iv, cancer)",fexact,"['alteminostat mesylate', 'histone deacetylase inhibitor solid tumor', 'ckd 581 iv cancer', 'ckd 581', 'alteminostat', 'hdac inhibitor solid tumor']",correct_mapping
HDP-101,B-cell maturation antigen antagonist,HDP-101,,HDP-101,hdp 101,fexact,"['amanitin-BCMA antibody drug conjugate (multiple myeloma)', 'HDP-101', 'BCMA-ATAC', 'HDP-101-ATAC', 'HD-101', 'amanitin-B cell maturation antigen antibody drug conjugate (multiple myeloma)']",HDP-101,fexact,"['amanitin bcma antibody drug conjugate multiple myeloma', 'hdp 101', 'bcma atac', 'hdp 101 atac', 'hd 101', 'amanitin b cell maturation antigen antibody drug conjugate multiple myeloma']",correct_mapping
AZD-5991,Mcl-1 antagonist,AZD-5991,,AZD-5991,azd 5991,fexact,"['Mcl-1 inhibitors (hematological malignancies)', 'AZD-5991', 'AZ-MC1']",AZD-5991,fexact,"['mcl 1 inhibitors hematological malignancies', 'azd 5991', 'az mc1']",correct_mapping
busulfan (oral),DNA inhibitor,busulfan,,Busulfex,busulfan,fexact,"['busulfan, MD Anderson', 'KRN-246', 'KER-246', 'Myleran', 'busulfan, Orphan Medical', 'Busilvex', 'busulfan', 'Busulfex', 'Busulfanex']",Busulfex,fexact,"['busulfan md anderson', 'krn 246', 'ker 246', 'myleran', 'busulfan orphan medical', 'busilvex', 'busulfan', 'busulfex', 'busulfanex']",correct_mapping
CJM-112,Interleukin 17A antagonist,CJM-112,,CJM-112,cjm 112,fexact,['CJM-112'],CJM-112,fexact,['cjm 112'],correct_mapping
AUTO-2,T cell stimulant; B-cell maturation antigen antagonist; TACI antagonist; Immuno-oncology therapy,AUTO-2,,AUTO-2,auto 2,fexact,"['APRIL-CAR', 'dual anti-BCMA/anti-TACI CAR T-cell therapy (APRIL-based, cancer)', 'CAR T-cell therapy (cancer)', 'AUTO-2', 'chimeric antigen receptor T-cell therapy (cancer)']",AUTO-2,fexact,"['april car', 'dual anti bcma anti taci car t cell therapy april based cancer', 'car t cell therapy cancer', 'auto 2', 'chimeric antigen receptor t cell therapy cancer']",correct_mapping
RG-6146,BET protein inhibitor,RG-6146,,RG-6146,rg 6146,fexact,"['TEN-010', '(S)-JQ35', 'RG-6146', 'bromodomain inhibitors (cancer), Tensha', 'bromodomain inhibitors (cancer)', 'RO-6870810']",RG-6146,fexact,"['ten 010', 's jq35', 'rg 6146', 'bromodomain inhibitors cancer tensha', 'bromodomain inhibitors cancer', 'ro 6870810']",correct_mapping
KITE-585,T cell stimulant; Immuno-oncology therapy; Immune checkpoint stimulant,KITE-585,,KITE-585,kite 585,fexact,"['KITE-585', 'anti-BCMA CAR T-cell therapy (multiple myeloma)']",KITE-585,fexact,"['kite 585', 'anti bcma car t cell therapy multiple myeloma']",correct_mapping
GBR-1342,CD3 agonist; Immuno-oncology therapy,GBR-1342,,ISB-1342,gbr 1342,fexact,"['anti-cd3/anti-cd38 bispecific tcell engager (bsab/beat, cancer)', 'CD38/CD3 bispecific monoclonal antibody (cancer/multiple myeloma)', 'ISB-1342', 'anti-CD3/anti-CD38 bispecific Tcell engager (bsAb/BEAT, cancer), Ichnos Sciences', 'anti-CD3/anti-CD38 bispecific Tcell engager (bsAb/BEAT, cancer)', 'cd38/cd3 bispecific monoclonal antibody (cancer/multiple myeloma)', 'GBR-1342', 'CD38/CD3 bispecific monoclonal antibody (cancer/multiple myeloma), Ichnos Sciences']",ISB-1342,fexact,"['anti cd3 anti cd38 bispecific tcell engager bsab beat cancer', 'cd38 cd3 bispecific monoclonal antibody cancer multiple myeloma', 'isb 1342', 'anti cd3 anti cd38 bispecific tcell engager bsab beat cancer ichnos sciences', 'anti cd3 anti cd38 bispecific tcell engager bsab beat cancer', 'cd38 cd3 bispecific monoclonal antibody cancer multiple myeloma', 'gbr 1342', 'cd38 cd3 bispecific monoclonal antibody cancer multiple myeloma ichnos sciences']",correct_mapping
KRT-232,MDM2 inhibitor,KRT-232,,KRT-232,krt 232,fexact,"['MDM2 inhibitor (myelofibrosis/polycythemia vera/merkel cell lymphoma/acute myeloid leukemia)', 'MDM2 inhibitor (solid tumor/melanoma),/GlaxoSmithkline', 'Mouse double minute 2 homolog inhibitor (solid tumor/melanoma),/GlaxoSmithkline', 'AMG-232', 'MDM2 inhibitor (myelofibrosis/polycythemia vera/merkel cell lymphoma/acute myeloid leukemia), Kartos Therapeutics', 'KRT-232']",KRT-232,fexact,"['mdm2 inhibitor myelofibrosis polycythemia vera merkel cell lymphoma acute myeloid leukemia', 'mdm2 inhibitor solid tumor melanoma glaxosmithkline', 'mouse double minute 2 homolog inhibitor solid tumor melanoma glaxosmithkline', 'amg 232', 'mdm2 inhibitor myelofibrosis polycythemia vera merkel cell lymphoma acute myeloid leukemia kartos therapeutics', 'krt 232']",correct_mapping
CC-93269,CD3 agonist; Immuno-oncology therapy,CC-93269,,CC-93269,cc 93269,fexact,"['anti-CD3/anti-BCMA T-cell bispecific antibody (multiple myeloma), Celgene', 'alnuctamab', 'anti-CD3/anti-BCMA bispecific T-cell engager (TCB, multiple myeloma)', 'EM-901', 'CC-93269']",CC-93269,fexact,"['anti cd3 anti bcma t cell bispecific antibody multiple myeloma celgene', 'alnuctamab', 'anti cd3 anti bcma bispecific t cell engager tcb multiple myeloma', 'em 901', 'cc 93269']",correct_mapping
GDA-201,Immunostimulant; Immuno-oncology therapy,GDA-201,,GDA-201,gda 201,fexact,"['NK cell program (cancer)', 'natural killer cell program (cancer)', 'NAM-NK', 'GDA-201']",GDA-201,fexact,"['nk cell program cancer', 'natural killer cell program cancer', 'nam nk', 'gda 201']",correct_mapping
CAR-CD44v6,T cell stimulant; Immuno-oncology therapy,CAR-CD44v6,,CAR-CD44v6,car cd44v6,fexact,"['CD44v6CAR.28z', 'CAR-T CD44v6', 'CD44 variant 6 targeting T-cell therapy (cancer), San Raffaele Scientific Institute/MolMed', 'CAR-CD44v6', 'anti-CD44v6 CAR T-cell therapy (cancer), San Raffaele Scientific Institute/MolMed']",CAR-CD44v6,fexact,"['cd44v6car 28z', 'car t cd44v6', 'cd44 variant 6 targeting t cell therapy cancer san raffaele scientific institute molmed', 'car cd44v6', 'anti cd44v6 car t cell therapy cancer san raffaele scientific institute molmed']",correct_mapping
lintuzumab-Ac-225,DNA inhibitor; Radiopharmaceutical,lintuzumab-Ac-225,,225Ac-lintuzumab,lintuzumab ac225,fuzzy,"['actinium-225-HuM-195', 'HuM-195-Ac-225', '225Ac-HuM-195', 'lintuzumab satetraxetan [225Ac]', 'SMART 225Ac-M195', 'HuM-195 [225Ac]', 'Actimab-M', '225Ac-lintuzumab', 'actinium-225-M195', 'lintuzumab-Ac225', '225Ac- lintuzumab satetraxetan', '(225Ac) lintuzumab satetraxetan', 'SMART actinium-225-M195', 'Actimab-A', 'Actimab-MDS']",225Ac-lintuzumab,fexact,"['actinium 225 hum 195', 'hum 195 ac 225', '225ac hum 195', 'lintuzumab satetraxetan 225ac', 'smart 225ac m195', 'hum 195 225ac', 'actimab m', '225ac lintuzumab', 'actinium 225 m195', 'lintuzumab ac225', '225ac lintuzumab satetraxetan', '225ac lintuzumab satetraxetan', 'smart actinium 225 m195', 'actimab a', 'actimab mds']",incorrect_mapping
